Chunk_1: Start time: 0 ms; Duration: 2419 ms; End time: 2419; Text: 我想和天权合伙做一回生意。; Oracle: 我想和听泉合伙做一回生意。
Chunk_13: Start time: 190325 ms; Duration: 13278 ms; End time: 203603; Text: 百家宝锁跟普通长命锁的不同之处，除了打锁的银子是用百家钱换来的之外，还要把给你百家钱的一百个人的姓氏都篆刻到银锁上葬凑齐，百家姓，以百家之力，保一人之命。; Oracle: 百家宝锁跟普通长命锁的不同之处。除了打锁的银子。用百家钱换来的之外。还要把给你百家钱的一百个人的姓氏。都刻到银锁上。这样凌齐百家姓。以百家之力。保一人之命。
Chunk_14: Start time: 203603 ms; Duration: 20550 ms; End time: 224153; Text: 之所以说百家锁珍贵无比，不仅是因为索的做工比较繁琐，难的是要找到一百个不同姓质的人，都愿意给你钱，你才能打成百家锁。在以前，如果家里的孩子体弱多病，父母就会用这种方式挨家挨户的去换百家钱，以寻求百家庇护，希望自己的子女可以驱病度恶。; Oracle: 之所以说百家锁珍贵无比。不仅是因为锁的做工比较繁琐。难的是要找到一百个不同姓氏的人。都愿意给你钱。你才能打成百家锁。在以前如果家里的孩子体弱多病。父母就会用这种方式。挨家挨户的去换百家钱。以寻求百家庇护。希望自己的子女可以趋病渡厄。
Chunk_15: Start time: 224153 ms; Duration: 18200 ms; End time: 242353; Text: 百岁安宁，而这次我们要做的百家宝锁，就是要送给潘老师的孩子。他九岁的儿子得了白血病，他想打一把百家锁，保住孩子的命，可半辈子打了无数，把银锁的，他也不知道真正的百家锁该如何做。得知了他的难处后，我和庭泉打算帮帮这位父亲。; Oracle: 百岁安宁。而这次我们要做的百家宝锁。就是要送给潘老师的孩子。他九岁的儿子得了白血病。他想打一把百家锁保住孩子的命。可半辈子打了无数把银锁的他。也不知道真正的百家锁该如何做。得知了他的难处后。我和听泉打算帮帮这位父亲。
Chunk_16: Start time: 242353 ms; Duration: 4726 ms; End time: 247079; Text: 小朋友生病了，这大半年里，潘老师像一个机器人，有用不完的力量。; Oracle: 小朋友生病的这大半年里。潘老师像一个机器人。有用不完的力量。
Chunk_17: Start time: 247079 ms; Duration: 10664 ms; End time: 257743; Text: 日夜无休止的打赢赞客，手疼了就磨磨嘴皮子。联系各位老板催催货款，求求订单，周围能借的都借了，是在在跟你说出去了。; Oracle: 日夜无休止的打银刻。手疼了就磨磨嘴皮子。联系各位老板。催催货款。求求订单。周围能借的都借了。我都不好意思再再。再跟你说那个了。
Chunk_18: Start time: 257743 ms; Duration: 21550 ms; End time: 279293; Text: 好，呃，希望希望回头你小孩快点好啊，真的，这个希望是不要希望这一次他能够挺下挺过来吧。这一次如果说这次挺不下去的话，我我自己都撑下去了。这个哎会好的，嗯，老是会好的，重要事情都很好。对，希等等一下，过续十一。; Oracle: 希望希望回头你小孩快点好啊。真的这个你也吃不消。希望这一次他能够挺过来吧。如果说这次挺不下去的话。我我自己都。撑不下去了。会好的。潘老师会好的。这种事情都会好的。但患骨髓要六十万。
Chunk_19: Start time: 279293 ms; Duration: 20214 ms; End time: 299507; Text: 要六十万，为了筹这笔钱，已经拖了孩子很久。原本不善言辞的父亲学起了直播，网友说，想看银饰戒指，他就立马戴上。网友说想看女士耳环，他也戴的飞快，就是这款啊，也是非常时尚的。当然，戴在我身上没那么。; Oracle: 为了筹这笔钱。已经拖了孩子很久了。原本不善言辞的父亲学起了直播。网友说想看银饰戒指。他就立马戴上。网友说想看女士耳环。他也戴的飞快。
Chunk_21: Start time: 299507 ms; Duration: 5430 ms; End time: 304937; Text: 呃，搭配现在，但忙活了一晚，上一单也没卖出去。; Oracle: 但忙活了一晚上。一单也没卖出去。
Chunk_22: Start time: 304937 ms; Duration: 4654 ms; End time: 309591; Text: 我和天权都升知百加索，对小朋友的病并没有什么用。; Oracle: 我和听泉都深知百家锁对小朋友的病。星传播并没有什么用。
Chunk_23: Start time: 309591 ms; Duration: 21250 ms; End time: 330841; Text: 但我们还是决定来贵州一趟，想给这位走投无路的父亲带来一记宽慰，给一次坚强的小朋友带去一束希望。老实说，他还是想靠自己的手艺赚钱。于是我和天权开始教老师如何直播。潘老师说，天无绝人之路。; Oracle: 但我们还是决定来贵州一趟。想给这位走投无路的父亲。带来一剂宽慰。给一直坚强的小朋友带去一束希望。老师说他还是想靠自己的手艺赚钱。于是我和听泉开始教老师如何直播。潘老师说。天无绝人之路。
Chunk_24: Start time: 330841 ms; Duration: 15161 ms; End time: 346002; Text: 我们的到来，他又重新看到了希望，但我和天璇觉得他才是更多人的希望。潘老师是迁都南州银石锻造技艺的代表性工匠，曾带领五十多位村民打赢致富，为家乡脱贫捐赠母校收徒授益。; Oracle: 我们的到来。他又重新看到了希望。但我和听泉觉得。他才是更多人的希望。潘老师是黔东南州。银饰锻造技艺的代表性工匠。曾带领五十多位村民打银致富。为家乡脱贫。捐赠母校。收徒授艺。
Chunk_25: Start time: 346002 ms; Duration: 18100 ms; End time: 364102; Text: 作为传承人，他在自己有能力的时候帮助过很多人。但作为父亲，他却说他变成了最没用的人。在马料村的这些天，我和听权看见了一位传承人的坚守，因为父亲的坚持。; Oracle: 作为传承人。他在自己有能力的时候帮助过很多人。但作为父亲。他却说他变成了最没用的人。在麻料村的这些天。我和听泉看见了一位传承人的坚守。一位父亲的坚持。
Chunk_26: Start time: 364102 ms; Duration: 19550 ms; End time: 383652; Text: 和一个人的百折不挠，即使命运扔来，白金中的石头也要握紧铁锤，千敲万凿一遍又一遍，让顽石低头让绝壁生话。您说有用吗？您定有用吧，这上面有这么多的叔叔阿姨都在为你祝福。; Oracle: 和一个人的百折不挠。即使命运扔来百斤重的石头。也要握紧铁锤。千敲万凿。一遍叉一遍。让顽石低头。让绝壁生花。银锁有用吗。肯定有用吧。这上面有这么多的叔叔阿姨。都在为你祝福。
Chunk_27: Start time: 383652 ms; Duration: 19000 ms; End time: 402652; Text: 我们都相信星辰泽里。; Oracle: 我们都相信。心诚则灵。
