Chunk_1: Start time: 0 ms; Duration: 1553 ms; End time: 1553; Text: 羽毛风筝难做吗？; Oracle: 羽毛风筝难做吗。
Chunk_15: Start time: 190085 ms; Duration: 5642 ms; End time: 195727; Text: 几千年的风筝发展史中，演变出了各种造型不同大小各异的风筝。; Oracle: 儿千年的风筝发展史中。演变出了各种造型不同大小各异的风筝。
Chunk_16: Start time: 195727 ms; Duration: 3088 ms; End time: 198815; Text: 但他们的形势始终没有改变过。; Oracle: 但它们的形式始终没有改变过。
Chunk_17: Start time: 198815 ms; Duration: 19906 ms; End time: 218721; Text: 直到一九八七年，张志刚老师将羽毛与风筝结合，开创了一个新的风筝类别。羽毛仿生风筝，这种风筝可以仿生出各种鸟类，飞上天空，远观，就像真鸟一样，极具创意性和观赏性。志刚老师创作的羽毛风筝也在很多国际比赛中都曾荣获过大奖。; Oracle: 直到一千九百八十七年。张志刚老师将羽毛与风筝结合。开创了一个新的风筝类别。羽毛仿生风筝。这种风筝可以仿生出各种鸟类飞上天空。远观就像真鸟一样。极具创意性和观赏性。志刚老师创作的羽毛风筝。也在很多国际比赛中都曾荣获过大奖。
Chunk_18: Start time: 218721 ms; Duration: 1933 ms; End time: 220654; Text: 但这种风筝的造价。; Oracle: 但这种风筝的造价非常昂贵。
Chunk_19: Start time: 220654 ms; Duration: 17214 ms; End time: 237868; Text: 非常昂贵，一只羽毛风筝可能要收集数十种家庭的羽毛花费大量的时间才能拼接完成。也正因为造价和时间的问题，这种风筝最终没有被大众接受，没有人愿意学习制作这种风筝。; Oracle: 只羽毛风筝可能要收集数十种家禽的羽毛。花费大量的时间才能拼接完成。也正因为造价和时间的问题。这种风筝最终没有被大众接受。没有人愿意学习制作这种风筝。几十年里只有志刚老师一人。
Chunk_20: Start time: 237868 ms; Duration: 8283 ms; End time: 246151; Text: 几十年里，只有志刚老师一人在默默的坚守创作。直到去年，他的意外离世，羽毛风筝。; Oracle: 直到去年他的意外离世。我羽毛风筝。
Chunk_21: Start time: 246151 ms; Duration: 1885 ms; End time: 248036; Text: 再也没有人会做了。; Oracle: 再也没有人会做了。
Chunk_22: Start time: 248036 ms; Duration: 18850 ms; End time: 266886; Text: 这种故事每天都在发生，我们能做的就是让他多留一会儿，让更多的人看见，或许还会有同样喜爱的人来继续发扬羽毛风筝。; Oracle: 这种故事每天都在发生。我们能做的就是让它多留一会。让更多的人看见。或许还会有同样喜爱的人。来继续发扬羽毛风筝。
Chunk_23: Start time: 266886 ms; Duration: 19170 ms; End time: 286056; Text: 终于在多位老师的帮助下，历经了三十个日夜。这放生老鹰的羽毛风筝总算是完成了，但它现在还不算完整。只有真正能飞起来的羽毛风筝才能算是。; Oracle: 终于在多位老师的帮助下。历经了三十个日夜。这仿生老鹰的羽毛风筝。总算是完成了。但它现在还不算完整。只有真正能飞起来的羽毛风筝。才能算是真正的雄鹰。
Chunk_24: Start time: 286056 ms; Duration: 21650 ms; End time: 307706; Text: 真正的雄鹰可到了真正试飞的时候，我才明白，原来羽毛风筝不只是把羽毛贴在了风筝上，这么简单，贴上羽毛的同时，就要考虑它的重量，贴的飞行姿态和仿身效果。; Oracle: 可到了真正试飞的时候。我才明白。原来羽毛风筝。不只是把羽毛贴在风筝上这么简单。贴上羽毛的同时。就要考虑它的重量。它的飞行姿态和仿生效果。我们始终无法在仿生和飞行上。
Chunk_25: Start time: 307706 ms; Duration: 18150 ms; End time: 325856; Text: 我们始终无法在仿身和飞行上做到两全其美。这六个月我们试飞了，无数次摔坏了再修修好了又摔坏。不过好在我和邵东老师都是倔种，你越是不想让我们控制，我们就越是要把你。; Oracle: 做到两全其美。这六个月我们试飞了无数次。摔坏了再修。修好了又摔坏。不过好在。我和效东老师都是倔种。你越是不想让我们控制。我们越是要把你。
Chunk_26: Start time: 325856 ms; Duration: 21350 ms; End time: 347206; Text: 抓在手中。; Oracle: 抓在手中。
Chunk_27: Start time: 386606 ms; Duration: 19441 ms; End time: 406047; Text: 羽毛风筝再也不是最后一次了。相信从今天开始，它会越来越多越来越好。; Oracle: 羽毛风筝。再也不是最后一只了。相信从今天开始。它会越来越多。越来越好。
